id,department,code,chemicalName,tradeName,quantity,storage,use,hazards,ppe,updatedAt
DTCH-001,จ่ายกลาง,001,10% Sodium hypochlorite,Maxwhite,20 L,ห้องเก็บน้ำยา,ผลิตภัณฑ์ซักผ้าขาว,สารไวไฟ | วัตถุมีพิษ | สารกัดกร่อน | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา | รองเท้าบูท,
DTCH-002,ทันตกรรม,002,17% EDTA,MD-Solution EDTA,1หลอด,รถรักษาราก,วัสดุรักษารากฟัน,,ถุงมือ | หน้ากาก,
DTCH-003,ไตเทียม,003,30% Citric acid,Citriklean,5 L,ห้องเก็บน้ำยา,อบฆ่าเชื้อเครื่องฟอกไต,วัตถุมีพิษ | สารกัดกร่อน | อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา | รองเท้าบูท,
DTCH-004,LAB,004,30% KOH (Potassium Hydroxide),30% KOH (Potassium Hydroxide),1 ขวด,ตู้เก็บของ,ดูเชื้อรา,สารกัดกร่อน,เสื้อกันสารเคมี,
DTCH-005,ทันตกรรม,005,37% Phosphoric acid,DENTAL LIFE,105 x 3g,ตู้เย็น,กดกัดฟัน,สารกัดกร่อน,ถุงมือ | หน้ากาก,
DTCH-006,x-ray,006,3rd generation quaternary ammonium compounds dual quats,PoseQiat PAD,4 กระปุก,ห้อง x-ray,แผ่นกระดาษทำความ สะอาดฆ่าเชื้อ,ประเภทอื่น ๆ,ถุงมือ,
DTCH-007,จ่ายกลาง,007,50% Hydrogen peroxide,Maxwhite color,20 L,ห้องเก็บน้ำยา,ผลิตภัณฑ์ซักผ้าสี-ผ้าขาว,สารไวไฟ | วัตถุมีพิษ | สารกัดกร่อน | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา | รองเท้าบูท,
DTCH-008,ไตเทียม,008,5.25 % Sodium Hypochlorite,Hypochlor,5 L,ห้องเก็บน้ำยา,อบฆ่าเชื้อเครื่องฟอกไต,วัตถุมีพิษ | สารกัดกร่อน | อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา | รองเท้าบูท,
DTCH-009,ไม่ระบุหน่วยงาน,009,70% Alcohol,Preservative solution 70%,,,,สารไวไฟ,,
DTCH-010,ไม่ระบุหน่วยงาน,010,70% Ethanol Cotton Ball,70% Ethanol Cotton Ball,,,,สารไวไฟ,,
DTCH-011,ไม่ระบุหน่วยงาน,011,95% Alcohol,95% Alcohol,,,,สารไวไฟ,,
DTCH-012,บริหาร,012,ก้อนหอมดับกลิ่น (Deodorizer Block),แอโร,1 ก้อน,ห้องเก็บของชั้น 3,ดับกลิ่นห้องน้ำ,สารไวไฟ,ถุงมือ,
DTCH-013,ช่าง,013,กาวทาท่อน้ำ,,1 กระป๋อง,ห้องช่าง,ยึดท่อน้ำ,สารไวไฟ | อันตรายต่อสุขภาพ,ถุงมือ,
DTCH-014,ช่าง,014,จารบี,,1 กระปุก,ห้องช่าง,ป้องกันสนิม,สารกัดกร่อน,,
DTCH-015,ช่าง,015,ทินเนอร์,,1 ขวด,ห้องช่าง,ทำความสะอาด,สารไวไฟ | วัตถุมีพิษ | สารกัดกร่อน | อันตรายต่อสุขภาพ,ถุงมือ,
DTCH-016,ช่าง,016,น้ำมันเครื่อง,,1 แกลลอน,ห้้องเครื่อง,ใส่เครื่องสำรองฟัน,สารไวไฟ | วัตถุระเบิด | วัตถุระคายเคือง,ถุงมือ,
DTCH-017,บริหาร,017,น้ำยาเช็ดกระจก (Glass Cleaner),คิงส์ สเตล่า,1 ขวด,ห้องเก็บของชั้น 3,เช็ดกระจก,สารไวไฟ | สารกัดกร่อน | วัตถุระคายเคือง,ถุงมือ,
DTCH-018,จ่ายกลาง,018,น้ำยาปรับผ้านุ่ม,Fabric Softener,20 L,ห้องเก็บน้ำยา,น้ำยาปรับผ้านุ่ม,วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา | รองเท้าบูท,
DTCH-019,ผลิต,019,น้ำยาผสมหมึกเครื่องปั๊มวันที่อิงค์เจ็ท Makeup/Butanone CAS 78-93-3,videojet,6 ltr.,โรงผลิตน้ำดื่ม,ผลิตน้ำดื่ม,สารไวไฟ | วัตถุมีพิษ | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ,
DTCH-020,ทันตกรรม,020,น้ำยาละลายวัสดุพิมพ์ปาก,Bevistrotray cleaner,1,ตู้เก็บของ,น้ำยาละลายวัสดุพิมพ์ปาก,สารไวไฟ | วัตถุระคายเคือง,ถุงมือ | หน้ากาก,
DTCH-021,ไม่ระบุหน่วยงาน,021,น้ำยาล้างจาน (Dishwashing Liquid),ซันไลต์,,,,อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ,
DTCH-022,ไม่ระบุหน่วยงาน,022,น้ำยาล้างมือ (Hand Soap),SPA clean,,,,,ถุงมือ,
DTCH-023,ไม่ระบุหน่วยงาน,023,ผงซักฟอก (Detergent),โอโม,,,,สารกัดกร่อน | วัตถุระคายเคือง,ถุงมือ,
DTCH-024,โภชนา,024,โพรเพน (C3 H8) บิวเทน(C4 H10),แก๊สหุงต้ม,192กิโลกรัม,ที่โล่งแจ้งหลังอาคาร,หุงต้ม,สารไวไฟ | วัตถุระเบิด | วัตถุมีพิษ | แก๊ส,,
DTCH-025,บริหาร,025,ยาฉีดยุง (Mosquito Spray),ชิลท้อคซ์,,ห้องเก็บของชั้น 3,ฉีดแมลง,สารไวไฟ | วัตถุระเบิด | แก๊ส | อันตรายต่อสุขภาพ,ถุงมือ,
DTCH-026,ไม่ระบุหน่วยงาน,026,สเปรย์น้ำหอมปรับอากาศ,King’s Stella HoReCa Lavender Air Freshener,,,,สารไวไฟ | วัตถุระเบิด | แก๊ส,,
DTCH-027,ช่าง,027,สีสเปร์,,1 กระป๋อง,ห้องช่าง,พ่นสี,สารไวไฟ | วัตถุระเบิด | แก๊ส | อันตรายต่อสุขภาพ,ถุงมือ,
DTCH-028,ผลิต,028,หมึกพิมพ์เครื่องปั๊มวันที่อิงค์เจ็ท Solvent ink,videojet,2 ltr.,โรงผลิตน้ำดื่ม,ผลิตน้ำดื่ม,สารไวไฟ | วัตถุมีพิษ | สารกัดกร่อน | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ,
DTCH-029,ทันตกรรม,029,อะมัลกัม (400 mg / 600 mg ต่อเม็ด),,1000 เม็ด,ตู้เก็บของ,วัสดอุดฟัน,,ถุงมือ | หน้ากาก,
DTCH-030,LAB,030,Acetone (Gram stain Decolorized),Acetone (Gram stain Decolorized),2 ขวด,ห้องย้อมสี,ย้อมสี,วัตถุมีพิษ | อันตรายต่อสุขภาพ | อันตรายต่อสิ่งแวดล้อม | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | เสื้อกันสารเคมี,
DTCH-031,ทันตกรรม,031,Acrylic Resin Liquid,Tokuyama,1,ตู้เก็บของ,วัสดุทำฟันปลอม,สารไวไฟ | วัตถุมีพิษ | อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ | หน้ากาก,
DTCH-032,ไม่ระบุหน่วยงาน,032,Alcohol Hand Gel (4 OZ with Pump),Clear Hand Gel,,,,สารไวไฟ,ถุงมือ,
DTCH-033,จ่ายกลาง,033,"Alkyl polyglycoside,",,,,,วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา | รองเท้าบูท,
DTCH-034,ไม่ระบุหน่วยงาน,034,Ammonia Carbonate,Aromatic Ammonia Spirit,1 ขวด,ตู้เก็บของ,ใช้ดมบรรเทาอาการหน้ามืด,,,
DTCH-035,OPD,035,Ammonium Lauryl Sulfate,Liquid. hand. Soap,10×300ml,ตู้เก็บของ,สบู่เหลวล้างมือ,วัตถุมีพิษ | สารกัดกร่อน | อันตรายต่อสุขภาพ | วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา,
DTCH-036,จ่ายกลาง,036,"Amylase,Protease,Lipase",Medical Enzyme Detergent Plus,5 L,ห้องเก็บน้ำยา,แช่เครื่องมือทางการแพทย์,วัตถุระคายเคือง,ถุงมือ | หน้ากาก | แว่นตา | รองเท้าบูท,
DTCH-037,ทันตกรรม,037,Aniosyme DLT Plus,,1,ตู้เก็บของ,,,,
DTCH-038,จ่ายกลาง,038,Bacillus subtillis,Keen surface cleaner F.O.G Digester,5 L,ห้องเก็บน้ำยา,เอนไซม์ผลิตภัณฑ์ซักผ้า,,แว่นตา | รองเท้าบูท,
DTCH-039,ผลิต,039,Beeswax,"P.C. Drug Center Co., Ltd.",8 kg,ห้องเตรียมยาใช้ภายนอก,เตรียมยาหม่อง,สารไวไฟ | อันตรายต่อสิ่งแวดล้อม | ประเภทอื่น ๆ,ถุงมือ,
