Chemical ID,SDS Code,ไฟล์ต้นทาง,ไฟล์ในระบบ,ความกว้าง,ความสูง
CHEM-001,SDS-CHEM-001,สารเคมี/SDS-CHEM-001_0.png,assets/chemical-images/chemical-001.webp,527,1491
CHEM-002,SDS-CHEM-002,สารเคมี/SDS-CHEM-002_0.png,assets/chemical-images/chemical-002.webp,528,1491
CHEM-003,SDS-CHEM-003,สารเคมี/SDS-CHEM-003_0.png,assets/chemical-images/chemical-003.webp,768,1024
CHEM-004,SDS-CHEM-004,สารเคมี/SDS-CHEM-004_0.png,assets/chemical-images/chemical-004.webp,768,1024
CHEM-005,SDS-CHEM-005,สารเคมี/SDS-CHEM-005_Alcohol-70percen_0.png,assets/chemical-images/chemical-005.webp,768,1024
CHEM-006,SDS-CHEM-006,สารเคมี/SDS-CHEM-006_Glutaraldehyde-2percent_0.png,assets/chemical-images/chemical-006.webp,768,1024
CHEM-007,SDS-CHEM-007,สารเคมี/SDS-CHEM-007_Sodium-Hypochlorite-6percent_0.png,assets/chemical-images/chemical-007.webp,727,1019
CHEM-008,SDS-CHEM-008,สารเคมี/SDS-CHEM-008_Hand-Sanitizer-Ethanol-75percent_0.png,assets/chemical-images/chemical-008.webp,769,1024
CHEM-009,SDS-CHEM-009,สารเคมี/SDS-CHEM-009_Peracetic-Acid-0.2percent_0.png,assets/chemical-images/chemical-009.webp,768,1024
CHEM-010,SDS-CHEM-010,สารเคมี/SDS-CHEM-010_Povidone-Iodine-10percent_0.png,assets/chemical-images/chemical-010.webp,768,1024
CHEM-011,SDS-CHEM-011,สารเคมี/SDS-CHEM-011_Chlorhexidine-Gluconate-4percent_0.png,assets/chemical-images/chemical-011.webp,768,1024
CHEM-012,SDS-CHEM-012,สารเคมี/SDS-CHEM-012_Hydrogen-Peroxide-3percent_0.png,assets/chemical-images/chemical-012.webp,768,1024
CHEM-013,SDS-CHEM-013,สารเคมี/SDS-CHEM-013_Formaldehyde-37percent_0.png,assets/chemical-images/chemical-013.webp,768,1024
CHEM-014,SDS-CHEM-014,สารเคมี/SDS-CHEM-014_Silver-Nitrate-10percent_0.png,assets/chemical-images/chemical-014.webp,768,1024
CHEM-015,SDS-CHEM-015,สารเคมี/SDS-CHEM-015_Glutaraldehyde-2percent_0.png,assets/chemical-images/chemical-015.webp,768,1024
CHEM-016,SDS-CHEM-016,สารเคมี/SDS-CHEM-016_Acetic-Acid-5percent_0.png,assets/chemical-images/chemical-016.webp,768,1024
CHEM-017,SDS-CHEM-017,สารเคมี/SDS-CHEM-017_Sodium-Hydroxide-10percent_0.png,assets/chemical-images/chemical-017.webp,768,1024
CHEM-018,SDS-CHEM-018,สารเคมี/SDS-CHEM-018_Detergent-Neutral_0.png,assets/chemical-images/chemical-018.webp,768,1024
CHEM-019,SDS-CHEM-019,สารเคมี/SDS-CHEM-019_Isopropyl-Alcohol-70percent_0.png,assets/chemical-images/chemical-019.webp,768,1024
CHEM-020,SDS-CHEM-020,สารเคมี/SDS-CHEM-020_Phenol-5percent-Solution_0.png,assets/chemical-images/chemical-020.webp,768,1024
CHEM-021,SDS-CHEM-021,สารเคมี/SDS-CHEM-021_Sodium-Hypochlorite-6percent_0.png,assets/chemical-images/chemical-021.webp,768,1024
CHEM-022,SDS-CHEM-022,สารเคมี/SDS-CHEM-022_Quaternary-Ammonium-Compound_0.png,assets/chemical-images/chemical-022.webp,768,1024
CHEM-023,SDS-CHEM-023,สารเคมี/SDS-CHEM-023_Hydrogen-Peroxide-30percent_0.png,assets/chemical-images/chemical-023.webp,768,1024
CHEM-024,SDS-CHEM-024,สารเคมี/SDS-CHEM-024_Sodium-Bicarbonate_0.png,assets/chemical-images/chemical-024.webp,768,1024
