Chemical ID,SDS Code,ไฟล์ต้นทาง,ไฟล์ข้อมูล,ความกว้าง,ความสูง,ขนาด WebP (bytes)
CHEM-001,SDS-CHEM-001,SDS-CHEM-001.png,data/images-1.js,1273,1800,318562
CHEM-002,SDS-CHEM-002,SDS-CHEM-002.png,data/images-1.js,1273,1800,300382
CHEM-003,SDS-CHEM-003,SDS-CHEM-003.png,data/images-1.js,1273,1800,276262
CHEM-004,SDS-CHEM-004,SDS-CHEM-004.png,data/images-1.js,1086,1448,258696
CHEM-005,SDS-CHEM-005,SDS-CHEM-005.png,data/images-1.js,1086,1448,259374
CHEM-006,SDS-CHEM-006,SDS-CHEM-006.png,data/images-1.js,1055,1491,249722
CHEM-007,SDS-CHEM-007,SDS-CHEM-007.png,data/images-1.js,1055,1491,274718
CHEM-008,SDS-CHEM-008,SDS-CHEM-008.png,data/images-1.js,1055,1491,272542
CHEM-009,SDS-CHEM-009,SDS-CHEM-009.png,data/images-1.js,1055,1491,260792
CHEM-010,SDS-CHEM-010,SDS-CHEM-010.png,data/images-1.js,1055,1491,281540
CHEM-011,SDS-CHEM-011,SDS-CHEM-011.png,data/images-1.js,1086,1448,264586
CHEM-012,SDS-CHEM-012,SDS-CHEM-012.png,data/images-1.js,1086,1448,251444
CHEM-013,SDS-CHEM-013,SDS-CHEM-013.png,data/images-1.js,1055,1491,284134
CHEM-014,SDS-CHEM-014,SDS-CHEM-014.png,data/images-1.js,1055,1491,300882
CHEM-015,SDS-CHEM-015,SDS-CHEM-015.png,data/images-1.js,1055,1491,305314
CHEM-016,SDS-CHEM-016,SDS-CHEM-016.png,data/images-1.js,1055,1491,285246
CHEM-017,SDS-CHEM-017,SDS-CHEM-017.png,data/images-2.js,1055,1491,263366
CHEM-018,SDS-CHEM-018,SDS-CHEM-018.png,data/images-2.js,1086,1448,253318
CHEM-019,SDS-CHEM-019,SDS-CHEM-019.png,data/images-2.js,1055,1491,283966
CHEM-020,SDS-CHEM-020,SDS-CHEM-020.png,data/images-2.js,1055,1491,313852
CHEM-021,SDS-CHEM-021,SDS-CHEM-021.png,data/images-2.js,1055,1491,288486
CHEM-022,SDS-CHEM-022,SDS-CHEM-022.png,data/images-2.js,1055,1491,273556
CHEM-023,SDS-CHEM-023,SDS-CHEM-023.png,data/images-2.js,1086,1448,265898
CHEM-024,SDS-CHEM-024,SDS-CHEM-024.png,data/images-2.js,1055,1491,296146
CHEM-025,SDS-CHEM-025,SDS-CHEM-025.png,data/images-2.js,1055,1491,278052
CHEM-026,SDS-CHEM-026,SDS-CHEM-026.png,data/images-2.js,1086,1448,282346
CHEM-027,SDS-CHEM-027,SDS-CHEM-027.png,data/images-2.js,1055,1491,274162
CHEM-028,SDS-CHEM-028,SDS-CHEM-028.png,data/images-2.js,1024,1536,254540
CHEM-029,SDS-CHEM-029,SDS-CHEM-029.png,data/images-2.js,1024,1536,266874
CHEM-030,SDS-CHEM-030,SDS-CHEM-030.png,data/images-2.js,1055,1491,282554
CHEM-031,SDS-CHEM-031,SDS-CHEM-031.png,data/images-2.js,1055,1491,290838
CHEM-032,SDS-CHEM-032,SDS-CHEM-032.png,data/images-2.js,1086,1448,254672
CHEM-033,SDS-CHEM-033,SDS-CHEM-033.png,data/images-3.js,1086,1448,277268
CHEM-034,SDS-CHEM-034,SDS-CHEM-034.png,data/images-3.js,1024,1536,246374
CHEM-035,SDS-CHEM-035,SDS-CHEM-035.png,data/images-3.js,1055,1491,272208
CHEM-036,SDS-CHEM-036,SDS-CHEM-036.png,data/images-3.js,1055,1491,266040
CHEM-037,SDS-CHEM-037,SDS-CHEM-037.png,data/images-3.js,1055,1491,285186
CHEM-038,SDS-CHEM-038,SDS-CHEM-038.png,data/images-3.js,1055,1491,263788
CHEM-039,SDS-CHEM-039,SDS-CHEM-039.png,data/images-3.js,1055,1491,271074
CHEM-040,SDS-CHEM-040,SDS-CHEM-040.png,data/images-3.js,1055,1491,277482
